,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,0,0,46,Melbourne,2,-,v Australia,S Dhawan (INDIA),23,50.00,2019
,0,2,13,Leeds,1,21,v England,SN Thakur (INDIA),22*,169.23,2018
,1,1,26,Guwahati,2,-,v West Indies,AT Rayudu (INDIA),22*,84.61,2018
,3,1,10,Mount Maunganui,1,19,v New Zealand,KM Jadhav (INDIA),22*,220.00,2019
,4,0,31,The Oval,2,49,v Pakistan,Yuvraj Singh (INDIA),22,70.96,2017
,2,0,30,Perth,2,-,v England,TM Head (AUS),22,73.33,2018
,0,1,32,The Oval,1,42,v England,MP Stoinis (AUS),22,68.75,2018
,3,1,17,Manchester,1,-,v England,AJ Finch (AUS),22,129.41,2018
,2,0,27,Pune,2,-,v West Indies,AT Rayudu (INDIA),22,81.48,2018
,2,0,26,Adelaide,1,-,v South Africa,SE Marsh (AUS),22,84.61,2018
,2,0,24,Adelaide,1,-,v South Africa,A Zampa (AUS),22,91.66,2018
,4,0,25,Birmingham,1,29,v England,DA Warner (AUS),21,84.00,2017
,4,0,22,The Oval,2,42,v Pakistan,S Dhawan (INDIA),21,95.45,2017
,3,0,21,Bengaluru,2,23,v Australia,V Kohli (INDIA),21,100.00,2017
,2,0,33,Cardiff,2,61,v England,DJM Short (AUS),21,63.63,2018
,1,0,22,Lord's,2,-,v England,HH Pandya (INDIA),21,95.45,2018
,3,0,22,Leeds,1,26,v England,KD Karthik (INDIA),21,95.45,2018
,2,0,21,Leeds,1,29,v England,HH Pandya (INDIA),21,100.00,2018
,1,0,35,Leeds,1,54,v England,B Kumar (INDIA),21,60.00,2018
,1,1,31,Dubai (DSC),2,-,v Bangladesh,B Kumar (INDIA),21,67.74,2018
,3,0,23,Adelaide,1,40,v India,UT Khawaja (AUS),21,91.30,2019
,0,3,6,Birmingham,1,8,v Pakistan,HH Pandya (INDIA),20*,333.33,2017
,2,0,31,Birmingham,1,44,v England,GJ Maxwell (AUS),20,64.51,2017
,1,1,21,North Sound,2,-,v West Indies,HH Pandya (INDIA),20,95.23,2017
,2,0,26,Kolkata,1,56,v Australia,HH Pandya (INDIA),20,76.92,2017
,1,0,33,Kolkata,1,39,v Australia,B Kumar (INDIA),20,60.60,2017
,0,1,18,Nagpur,1,29,v India,MS Wade (AUS),20,111.11,2017
,0,2,18,Mumbai,1,27,v New Zealand,RG Sharma (INDIA),20,111.11,2017
,2,1,30,Durban,2,25,v South Africa,RG Sharma (INDIA),20,66.66,2018
,0,2,19,Nottingham,2,-,v England,AJ Finch (AUS),20,105.26,2018
,0,1,25,Visakhapatnam,1,31,v West Indies,MS Dhoni (INDIA),20,80.00,2018
,2,0,22,Adelaide,1,36,v India,PSP Handscomb (AUS),20,90.90,2019
,2,0,20,Port Elizabeth,1,26,v South Africa,B Kumar (INDIA),19*,95.00,2018
,1,1,18,Colombo (RPS),1,-,v Sri Lanka,HH Pandya (INDIA),19,105.55,2017
,4,0,25,Dharamsala,1,44,v Sri Lanka,Kuldeep Yadav (INDIA),19,76.00,2017
,2,0,24,The Oval,1,39,v England,AJ Finch (AUS),19,79.16,2018
,2,1,20,The Oval,1,27,v England,AJ Tye (AUS),19,95.00,2018
,3,1,15,Cardiff,2,17,v England,TM Head (AUS),19,126.66,2018
,1,1,19,Nottingham,2,-,v England,GJ Maxwell (AUS),19,100.00,2018
,3,0,15,Chester-le-Street,1,-,v England,AC Agar (AUS),19,126.66,2018
,2,0,26,Dubai (DSC),2,-,v Afghanistan,KM Jadhav (INDIA),19,73.07,2018
,3,0,21,Pune,2,22,v New Zealand,MS Dhoni (INDIA),18*,85.71,2017
,3,0,37,Hamilton,1,42,v New Zealand,YS Chahal (INDIA),18*,48.64,2019
,1,1,10,Kanpur,1,16,v New Zealand,KM Jadhav (INDIA),18,180.00,2017
,0,1,25,Brisbane,1,-,v England,SPD Smith (AUS),18,72.00,2018
,2,0,21,Johannesburg,1,39,v South Africa,SS Iyer (INDIA),18,85.71,2018
,2,0,34,Centurion,2,56,v South Africa,S Dhawan (INDIA),18,52.94,2018
,2,0,27,Adelaide,1,33,v India,AT Carey (AUS),18,66.66,2019
,3,0,19,Birmingham,1,17,v England,MC Henriques (AUS),17,89.47,2017
,2,0,24,Pallekele,2,-,v Sri Lanka,KL Rahul (INDIA),17,70.83,2017
