,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,7.11,Nottingham,1,0,v England,9.5,UT Yadav (INDIA),70,2,2018
,10.00,Hobart,1,0,v South Africa,7.0,MP Stoinis (AUS),70,2,2018
,7.10,Melbourne,2,0,v England,10.0,MA Starc (AUS),71,2,2018
,7.50,Indore,1,0,v Australia,10.0,Kuldeep Yadav (INDIA),75,2,2017
,9.00,Cardiff,1,0,v England,9.0,AJ Tye (AUS),81,2,2018
,8.10,Guwahati,1,0,v West Indies,10.0,Mohammed Shami (INDIA),81,2,2018
,0.00,North Sound,2,0,v West Indies,0.1,KM Jadhav (INDIA),0,1,2017
,2.75,Thiruvananthapuram,1,1,v West Indies,4.0,B Kumar (INDIA),11,1,2018
,4.00,Pallekele,1,0,v Sri Lanka,3.0,KM Jadhav (INDIA),12,1,2017
,2.40,Centurion,1,1,v South Africa,5.0,JJ Bumrah (INDIA),12,1,2018
,3.25,Kingston,1,0,v West Indies,4.0,KM Jadhav (INDIA),13,1,2017
,7.00,Nagpur,1,0,v Australia,2.0,HH Pandya (INDIA),14,1,2017
,4.66,Sydney,1,0,v England,3.0,MR Marsh (AUS),14,1,2018
,4.00,Adelaide,2,0,v India,4.0,GJ Maxwell (AUS),16,1,2019
,5.66,Napier,1,0,v New Zealand,3.0,KM Jadhav (INDIA),17,1,2019
,3.60,Thiruvananthapuram,1,1,v West Indies,5.0,Kuldeep Yadav (INDIA),18,1,2018
,3.80,Centurion,1,1,v South Africa,5.0,B Kumar (INDIA),19,1,2018
,5.00,Chennai,2,0,v Australia,4.0,JJ Bumrah (INDIA),20,1,2017
,4.20,Johannesburg,2,0,v South Africa,5.0,JJ Bumrah (INDIA),21,1,2018
,3.14,Port Elizabeth,2,0,v South Africa,7.0,JJ Bumrah (INDIA),22,1,2018
,4.60,Birmingham,2,1,v Pakistan,5.0,B Kumar (INDIA),23,1,2017
,5.75,Pune,1,0,v New Zealand,4.0,HH Pandya (INDIA),23,1,2017
,4.50,Pallekele,1,0,v Sri Lanka,5.2,HH Pandya (INDIA),24,1,2017
,6.25,Chennai,2,0,v Australia,4.0,B Kumar (INDIA),25,1,2017
,3.71,Colombo (RPS),2,0,v Sri Lanka,7.0,SN Thakur (INDIA),26,1,2017
,8.66,Perth,2,0,v South Africa,3.0,NM Coulter-Nile (AUS),26,1,2018
,9.00,The Oval,1,0,v Pakistan,3.0,KM Jadhav (INDIA),27,1,2017
,4.50,Kingston,1,0,v West Indies,6.0,HH Pandya (INDIA),27,1,2017
,3.85,Dubai (DSC),1,0,v Afghanistan,7.0,KM Jadhav (INDIA),27,1,2018
,2.70,Adelaide,2,0,v South Africa,10.0,PJ Cummins (AUS),27,1,2018
,2.70,Melbourne,2,1,v India,10.0,JA Richardson (AUS),27,1,2019
,3.00,Pallekele,1,0,v Sri Lanka,10.0,AR Patel (INDIA),30,1,2017
,6.00,Mumbai (BS),2,1,v West Indies,5.0,B Kumar (INDIA),30,1,2018
,3.87,Dubai (DSC),1,1,v Bangladesh,8.0,YS Chahal (INDIA),31,1,2018
,4.57,North Sound,2,0,v West Indies,7.0,UT Yadav (INDIA),32,1,2017
,4.57,Dharamsala,2,1,v Sri Lanka,7.0,JJ Bumrah (INDIA),32,1,2017
,5.50,Melbourne,2,0,v England,6.0,MP Stoinis (AUS),33,1,2018
,3.40,Kolkata,1,1,v India,10.0,PJ Cummins (AUS),34,1,2017
,3.40,Manchester,2,2,v England,10.0,AC Agar (AUS),34,1,2018
,4.85,Wellington,2,0,v New Zealand,7.0,KM Jadhav (INDIA),34,1,2019
,3.50,Pallekele,1,1,v Sri Lanka,10.0,AR Patel (INDIA),35,1,2017
,5.12,Visakhapatnam,1,0,v Sri Lanka,6.5,B Kumar (INDIA),35,1,2017
,5.83,Mount Maunganui,2,0,v New Zealand,6.0,KM Jadhav (INDIA),35,1,2019
,3.60,Colombo (RPS),1,0,v Sri Lanka,10.0,YS Chahal (INDIA),36,1,2017
,7.40,Johannesburg,2,0,v South Africa,5.0,HH Pandya (INDIA),37,1,2018
,4.62,Dubai (DSC),1,0,v Pakistan,8.0,Kuldeep Yadav (INDIA),37,1,2018
,9.25,Dubai (DSC),1,0,v Afghanistan,4.0,DL Chahar (INDIA),37,1,2018
,5.42,Bengaluru,1,0,v Australia,7.0,KM Jadhav (INDIA),38,1,2017
,5.42,Chester-le-Street,2,0,v England,7.0,NM Lyon (AUS),38,1,2018
,5.30,Wellington,2,0,v New Zealand,7.1,B Kumar (INDIA),38,1,2019
