,,BR,Bat,Ground,Margin,Opposition,Result,Team,Toss,Year
0,,,2nd,Vadodara,4 runs,v Australia,lost,India,lost,2009
1,,,1st,Nagpur,99 runs,v Australia,won,India,lost,2009
2,,10,2nd,Delhi,6 wickets,v Australia,won,India,lost,2009
3,,,2nd,Mohali,24 runs,v Australia,lost,India,won,2009
4,,,2nd,Hyderabad (Deccan),3 runs,v Australia,lost,India,lost,2009
5,,49,1st,Guwahati,6 wickets,v Australia,lost,India,won,2009
6,,7,2nd,Visakhapatnam,5 wickets,v Australia,won,India,won,2010
7,,14,2nd,Ahmedabad,5 wickets,v Australia,won,India,lost,2011
8,,,2nd,Pune,72 runs,v Australia,lost,India,lost,2013
9,,39,2nd,Jaipur,9 wickets,v Australia,won,India,lost,2013
10,,3,1st,Mohali,4 wickets,v Australia,lost,India,lost,2013
11,,3,2nd,Nagpur,6 wickets,v Australia,won,India,won,2013
12,,,1st,Bengaluru,57 runs,v Australia,won,India,lost,2013
13,,,1st,Chennai,26 runs,v Australia,won,India,won,2017
14,,,1st,Kolkata,50 runs,v Australia,won,India,won,2017
15,,13,2nd,Indore,5 wickets,v Australia,won,India,lost,2017
16,,,2nd,Bengaluru,21 runs,v Australia,lost,India,lost,2017
17,,43,2nd,Nagpur,7 wickets,v Australia,won,India,lost,2017
