,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,13,12,153,Mohali,1,212,v Sri Lanka,RG Sharma,208*,135.94,2017
,20,4,137,Mumbai (BS),1,-,v West Indies,RG Sharma,162,118.24,2018
,13,4,129,Visakhapatnam,1,217,v West Indies,V Kohli,157*,121.70,2018
,16,1,134,Mohali,2,202,v New Zealand,V Kohli,154*,114.92,2016
,15,8,117,Guwahati,2,-,v West Indies,RG Sharma,152*,129.91,2018
,13,6,133,Kanpur,2,215,v South Africa,RG Sharma,150,112.78,2015
,21,3,127,Cuttack,1,183,v England,Yuvraj Singh,150,118.11,2017
,18,2,138,Kanpur,1,168,v New Zealand,RG Sharma,147,106.52,2017
,21,2,107,Guwahati,2,-,v West Indies,V Kohli,140,130.84,2018
,6,5,140,Chennai,1,202,v South Africa,V Kohli,138,98.57,2015
,10,6,122,Cuttack,1,203,v England,MS Dhoni,134,109.83,2017
,11,5,109,Nagpur,2,165,v Australia,RG Sharma,125,114.67,2017
,8,5,105,Pune,2,147,v England,V Kohli,122,116.19,2017
,9,2,125,Mumbai,1,203,v New Zealand,V Kohli,121,96.80,2017
,12,4,76,Pune,2,125,v England,KM Jadhav,120,157.89,2017
,9,1,106,Kanpur,1,166,v New Zealand,V Kohli,113,106.60,2017
,10,1,119,Pune,2,-,v West Indies,V Kohli,107,89.91,2018
,13,2,85,Visakhapatnam,2,140,v Sri Lanka,S Dhawan,100*,117.64,2017
,8,4,81,Mumbai (BS),1,-,v West Indies,AT Rayudu,100,123.45,2018
,7,4,86,Indore,1,144,v South Africa,MS Dhoni,92*,106.97,2015
,8,0,107,Kolkata,1,148,v Australia,V Kohli,92,85.98,2017
,12,1,75,Kolkata,2,118,v England,KM Jadhav,90,120.00,2017
,9,2,70,Mohali,1,99,v Sri Lanka,SS Iyer,88,125.71,2017
,9,3,58,Mumbai,2,87,v South Africa,AM Rahane,87,150.00,2015
,9,1,81,Dharamsala,2,109,v New Zealand,V Kohli,85*,104.93,2016
,5,5,66,Chennai,1,86,v Australia,HH Pandya,83,125.75,2017
,6,3,91,Mohali,2,122,v New Zealand,MS Dhoni,80,87.91,2016
,4,2,88,Chennai,1,152,v Australia,MS Dhoni,79,89.77,2017
,5,4,72,Indore,2,98,v Australia,HH Pandya,78,108.33,2017
,5,0,99,Rajkot,2,155,v South Africa,V Kohli,77,77.77,2015
,8,0,80,Visakhapatnam,1,105,v West Indies,AT Rayudu,73,91.25,2018
,6,4,62,Indore,2,94,v Australia,RG Sharma,71,114.51,2017
,5,3,65,Visakhapatnam,1,107,v New Zealand,RG Sharma,70,107.69,2016
,9,0,76,Indore,2,103,v Australia,AM Rahane,70,92.10,2017
,5,2,84,Pune,2,125,v New Zealand,S Dhawan,68,80.95,2017
,9,0,67,Mohali,1,87,v Sri Lanka,S Dhawan,68,101.49,2017
,7,1,69,Bengaluru,2,95,v Australia,KM Jadhav,67,97.10,2017
,7,2,74,Rajkot,2,95,v South Africa,RG Sharma,65,87.83,2015
,2,1,76,Visakhapatnam,1,152,v New Zealand,V Kohli,65,85.52,2016
,1,5,55,Bengaluru,2,93,v Australia,RG Sharma,65,118.18,2017
,10,2,87,Dharamsala,1,129,v Sri Lanka,MS Dhoni,65,74.71,2017
,8,1,63,Visakhapatnam,2,82,v Sri Lanka,SS Iyer,65,103.17,2017
,4,0,92,Pune,2,138,v New Zealand,KD Karthik,64*,69.56,2017
,5,4,56,Thiruvananthapuram,2,65,v West Indies,RG Sharma,63*,112.50,2018
,7,0,74,Nagpur,2,93,v Australia,AM Rahane,61,82.43,2017
,5,0,82,Kanpur,2,117,v South Africa,AM Rahane,60,73.17,2015
,8,0,59,Mumbai,2,100,v South Africa,S Dhawan,60,101.69,2015
,5,1,70,Ranchi,2,108,v New Zealand,AM Rahane,57,81.42,2016
,4,2,43,Kolkata,2,67,v England,HH Pandya,56,130.23,2017
,8,0,63,Kolkata,2,81,v England,V Kohli,55,87.30,2017
