Ground,Opposition,Player,Year
Nagpur,v Australia,KuldeepYadav,2019
Nagpur,v Australia,YSChahal,2019
Nagpur,v Australia,JJBumrah,2019
Nagpur,v Australia,BKumar,2019
Nagpur,v Australia,RAJadeja,2019
Nagpur,v Australia,MohammedShami,2019
Nagpur,v Australia,UTYadav,2019
Nagpur,v Australia,KMJadhav,2019
Nagpur,v Australia,VShankar,2019
Nagpur,v Australia,SKaul,2019
Nagpur,v India,PJCummins,2019
Nagpur,v India,JARichardson,2019
Nagpur,v India,MPStoinis,2019
Nagpur,v India,NMCoulter-Nile,2019
Nagpur,v India,KWRichardson,2019
Nagpur,v India,GJMaxwell,2019
Nagpur,v India,JPBehrendorff,2019
Nagpur,v India,AZampa,2019
Nagpur,v India,NMLyon,2019
